sector,filename,transit_events,n_points,depth_ppm,formal_error_ppm,reduced_chi_square,beta,robust_error_ppm
11,tess2019112060037-s0011-0000000440887364-0143-s_lc.fits,4,1082,503.4141795,37.95258415,1.924956049,3.247884994,171.0221664
38,tess2021118034608-s0038-0000000440887364-0209-s_lc.fits,7,1896,484.5261425,29.23961581,3.579145636,4.537896093,251.024375
