chi2,comparison,dof,mean,n,offset,p
128.42802591622421,weighted flat,105,609.0669022508155,106,,0.05994399866963856
230.65149745749656,1xSolar + fitted vertical offset,105,,106,-11.449285897856047,2.0324352706153134e-11
311.6129313687148,10xSolar + fitted vertical offset,105,,106,0.5898540340772911,2.3819907341509325e-22
154.6109680054254,250xSolar + fitted vertical offset,105,,106,1.588634578892531,0.0011778925517629973
131.8955750640548,1000xSolar + fitted vertical offset,105,,106,-0.43875240749193145,0.03897037311055866
